,Locality,Price,Number of bedrooms,Livable surface,Number of bathrooms,Balcony,Furnished,Surface of living-room,Elevator,Terrace,Surface terrace,Garden,Surface garden,Kitchen equipment_Fully equipped,Kitchen equipment_Not equipped,State of the property_New,State of the property_To be renovated,Type of property_house,Subtype of property_apartment,Subtype of property_villa
51,1,595000,5.0,202.0,1,0,0,30.0,0,1,8.0,1,25.0,0,1,0,1,1,0,0
52,1,395000,1.0,124.0,2,0,0,45.0,1,0,0.0,0,394.69903774291737,0,0,0,0,0,1,0
53,1,429000,3.0,110.0,1,0,0,34.0,1,1,5.0,0,350.1362431590396,0,0,0,0,0,1,0
54,1,375000,2.0,91.0,1,0,0,26.65351692797252,1,1,15.0,0,289.6581647952055,0,0,0,0,0,1,0
55,1,424000,3.0,125.0,1,0,0,34.0,1,1,9.0,0,397.8820944989087,0,0,0,1,0,1,0
56,1,265000,1.0,55.0,1,0,0,16.109268472950426,1,0,0.0,0,175.0681215795198,0,0,0,0,0,1,0
57,1,440000,2.0,92.0,1,0,0,30.0,1,0,0.0,0,292.8412215511968,0,0,0,0,0,1,0
58,1,390000,2.0,98.0,1,0,0,28.703787460893487,0,0,0.0,0,311.9395620871444,0,0,1,0,0,0,0
59,1,425000,1.0,96.0,1,0,0,35.0,0,1,12.0,0,305.5734485751618,0,0,0,0,0,0,0
60,1,850000,3.0,212.0,1,0,0,62.09390756846346,1,1,43.0,0,674.808032270149,0,0,0,0,0,0,0
61,1,499000,2.0,115.0,1,0,0,33.683015897987254,0,1,30.0,0,366.051526938996,0,0,0,0,0,0,0
62,1,380000,4.0,115.0,2,0,0,33.683015897987254,0,0,0.0,0,366.051526938996,0,1,0,0,1,0,0
63,1,500000,2.0,113.0,1,0,0,33.097224317152694,1,1,3.0,0,359.68541342701343,0,0,0,0,0,1,0
64,1,325000,2.0,113.0,1,0,0,33.097224317152694,1,0,0.0,0,359.68541342701343,0,0,0,0,0,1,0
65,1,245000,1.0,73.0,1,0,0,21.381392700461475,1,1,2.0,0,232.36314318736265,0,0,0,0,0,1,0
66,1,199000,2.0,73.0,1,0,0,25.0,1,1,2.0,0,232.36314318736265,0,0,0,0,0,1,0
67,1,210000,1.0,50.0,1,0,0,14.644789520864023,1,1,2.0,0,159.15283779956346,0,0,0,0,0,1,0
68,1,325000,2.0,85.0,1,0,0,24.89614218546884,1,1,3.0,0,270.5598242592579,0,0,0,0,0,1,0
69,1,160000,1.0,38.0,1,1,1,11.130040035856656,1,0,0.0,0,120.95615672766824,1,0,0,0,0,1,0
70,1,225000,1.0,60.0,1,0,1,30.0,1,1,4.0,0,190.98340535947617,0,0,0,0,0,1,0
71,1,249000,1.0,75.0,1,0,0,40.0,0,1,30.0,0,238.7292566993452,0,0,0,0,0,0,0
72,1,249000,1.0,75.0,1,0,0,40.0,0,1,30.0,0,238.7292566993452,0,0,0,0,0,1,0
73,1,420000,2.0,110.0,1,0,0,33.0,0,1,25.0,0,350.1362431590396,0,0,0,0,0,1,0
74,1,195000,1.0,66.0,1,0,0,19.33112216754051,1,0,0.0,0,210.08174589542372,0,0,0,0,0,1,0
